Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características,Tipo de operación
Piso en alquiler en Paseo de la Reina Cristina,Jerónimos (Distrito Retiro. Madrid Capital),2.200,152,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '152 m²'), ('Superficie útil:', '135 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '1ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4992439-000002')]",Alquiler
Piso en alquiler en Calle de Martínez,Berruguete (Distrito Tetuán. Madrid Capital),900,45,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '45 m²'), ('Superficie útil:', '38 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Menos de 5 años'), ('Referencia:', 'SA874-A165-MA/1158')]",Alquiler
Chalet en alquiler en Majadahonda / Monte El Pilar,Zona Monte del Pilar (Majadahonda),4.000,355,Anuncio actualizado el 08/10/2024,N/A,N/A,"[('Superficie construida:', '355 m²'), ('Habitaciones:', '6'), ('Baños:', '3'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA4094-IDE1260926')]",Alquiler
Apartamento en alquiler en Calle de Alonso del Barco,Palos de Moguer (Distrito Arganzuela. Madrid Capital),850,50,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '50 m²'), ('Superficie útil:', '45 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', '4526615-000219')]",Alquiler
Piso en alquiler en La Navata,La Navata (Galapagar),990,45,Anuncio actualizado el 27/10/2024,N/A,N/A,"[('Superficie construida:', '45 m²'), ('Habitaciones:', '1'), ('Baños:', '2'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'IF6229-AR-1589')]",Alquiler
Piso en alquiler en Avenida de Castilla-La Mancha,Arroyos y Tempranales (San Sebastián de los Reyes),900,55,Anuncio actualizado el 04/10/2024,N/A,N/A,"[('Superficie construida:', '55 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Conservación:', 'A estrenar'), ('Referencia:', 'SA5392-Alquiler paseo guadalajara')]",Alquiler
Estudio en alquiler en El Bosque,El Bosque (Villaviciosa de Odón),680,30,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '30 m²'), ('Superficie útil:', '30 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Conservación:', 'En buen estado'), ('Referencia:', '4997897-22022101A')]",Alquiler
Piso en alquiler en Almagro,Almagro (Distrito Chamberí. Madrid Capital),1.950,100,Anuncio actualizado el 26/10/2024,N/A,N/A,"[('Superficie construida:', '100 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '5ª'), ('Referencia:', 'IF5563-ALQUILER CASTELLANA')]",Alquiler
Piso en alquiler en Leganés Centro,Centro (Leganés),950,65,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '65 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2810-032286')]",Alquiler
Piso en alquiler en Ventas,Ventas (Distrito Ciudad Lineal. Madrid Capital),1.000,55,Anuncio actualizado el 10/10/2024,N/A,N/A,"[('Superficie construida:', '55 m²'), ('Habitaciones:', '1'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC140-596431')]",Alquiler
Chalet en alquiler en El Bosque,El Bosque (Villaviciosa de Odón),3.500,300,Anuncio actualizado el 01/08/2024,N/A,N/A,"[('Superficie construida:', '300 m²'), ('Superficie útil:', '300 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Conservación:', 'En buen estado'), ('Referencia:', '4997897-20111301A')]",Alquiler
Casa adosada en alquiler en Calle de Romero Girón,Hispanoamérica (Distrito Chamartín. Madrid Capital),6.900,570,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '570 m²'), ('Superficie útil:', '540 m²'), ('Habitaciones:', '6'), ('Baños:', '6'), ('Tipo de casa:', 'Adosada'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '517093-000665')]",Alquiler
"Piso en alquiler en Calle Raimundo Fernández Villaverde, cerca de Calle de Ponzano",Almagro (Distrito Chamberí. Madrid Capital),3.500,179,Anuncio actualizado el 26/02/2024,N/A,N/A,"[('Superficie construida:', '179 m²'), ('Superficie útil:', '152 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '5ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '4991150-rfv 30 353')]",Alquiler
Chalet pareado en alquiler en El Soto de La Moraleja,El Soto de la Moraleja (La Moraleja),6.500,450,Anuncio actualizado el 26/10/2024,N/A,N/A,"[('Superficie construida:', '450 m²'), ('Superficie útil:', '430 m²'), ('Habitaciones:', '5'), ('Baños:', '5'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '1794-11011663')]",Alquiler
"Apartamento en alquiler en Calle del Espinar, cerca de Paseo de Muñoz Grandes",Vista Alegre (Distrito Carabanchel. Madrid Capital),1.300,55,Anuncio actualizado el 01/08/2024,N/A,N/A,"[('Superficie construida:', '55 m²'), ('Superficie útil:', '45 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '4524941-A-012')]",Alquiler
Dúplex en alquiler en Calle de San Eustaquio,San Andrés (Distrito Villaverde. Madrid Capital),1.200,135,Anuncio actualizado el 17/09/2024,Consumo:10 kWh/m² año,Emisiones:10 Kg CO₂/m² año,"[('Superficie construida:', '135 m²'), ('Habitaciones:', '1'), ('Baños:', '2'), ('Planta:', '3ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5124-ATICO MARQUESADO_106000106')]",Alquiler
Piso en alquiler en Calle Buenavista,La Alhóndiga (Getafe),960,60,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '60 m²'), ('Superficie útil:', '54 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '3ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4514042-000007')]",Alquiler
Piso en alquiler en Calle de Núñez de Arce,Cortes-Huertas (Distrito Centro. Madrid Capital),2.000,127,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '127 m²'), ('Superficie útil:', '90 m²'), ('Habitaciones:', '2'), ('Baños:', '3'), ('Planta:', '3ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'A estrenar'), ('Gastos de comunidad:', 'Entre 80 y 100 €'), ('Referencia:', '524228-000102')]",Alquiler
"Piso en alquiler en Calle de García de Paredes, cerca de Calle de Fernández de la Hoz",Almagro (Distrito Chamberí. Madrid Capital),2.790,190,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '190 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Referencia:', 'XA785-520650')]",Alquiler
Chalet en alquiler en Hoyo de Manzanares,Hoyo de Manzanares,2.200,320,Anuncio actualizado el 17/10/2024,Consumo:196 kWh/m² año,Emisiones:52 Kg CO₂/m² año,"[('Superficie construida:', '320 m²'), ('Superficie solar:', '1.860 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'IF6229-AO-1545')]",Alquiler
Piso en alquiler en Adelfas,Adelfas (Distrito Retiro. Madrid Capital),1.400,82,Anuncio actualizado el 11/09/2024,N/A,N/A,"[('Superficie construida:', '82 m²'), ('Planta:', '4ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC1027-593613')]",Alquiler
Piso en alquiler en Paseo de la Virgen del Puerto,Imperial (Distrito Arganzuela. Madrid Capital),2.000,125,Anuncio actualizado el 10/04/2024,N/A,N/A,"[('Superficie construida:', '125 m²'), ('Superficie útil:', '125 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '1ª'), ('Conservación:', 'En buen estado'), ('Referencia:', '512906-000654')]",Alquiler
Apartamento en alquiler en Calle del Alcalde López Casero,Quintana (Distrito Ciudad Lineal. Madrid Capital),1.200,50,Anuncio actualizado el 01/08/2024,N/A,N/A,"[('Superficie construida:', '50 m²'), ('Superficie útil:', '40 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '4524941-A-016')]",Alquiler
"Piso en alquiler en Calle de García de Paredes, cerca de Calle de Fernández de la Hoz",Almagro (Distrito Chamberí. Madrid Capital),2.790,190,Anuncio actualizado el 07/10/2024,N/A,N/A,"[('Superficie construida:', '190 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Referencia:', 'XA785-520135')]",Alquiler
Piso en alquiler en Calle Mario Moreno Cantinflas,El Cañaveral (Distrito Vicálvaro. Madrid Capital),1.155,118,Anuncio actualizado el 22/07/2024,Consumo:14 kWh/m² año,Emisiones:3 Kg CO₂/m² año,"[('Superficie construida:', '118 m²'), ('Superficie útil:', '118 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '3ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Gastos de comunidad:', 'Entre 80 y 100 €'), ('Referencia:', '4525625-Cañaveral. 3 Dormitorios')]",Alquiler
Casa adosada en alquiler en Calle de Isabel de Valois,Sector S (Boadilla del Monte),2.700,346,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '346 m²'), ('Habitaciones:', '6'), ('Baños:', '4'), ('Tipo de casa:', 'Adosada'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Referencia:', 'SA4230-3610-00632/8893')]",Alquiler
"Piso en alquiler en Calle Felipe III, 9",Estación (Valdemoro),1.135,105,Anuncio actualizado el 13/10/2024,N/A,N/A,"[('Superficie construida:', '105 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5100-2200/22000832/00000007')]",Alquiler
Piso en alquiler en Calle C. de López de Hoyos,El Viso (Distrito Chamartín. Madrid Capital),2.080,85,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '85 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '4ª'), ('Referencia:', 'IF76795-ZZM52395')]",Alquiler
Piso en alquiler en Calle de las Siete Esquinas,Casco Histórico (Distrito Centro. Alcalá de Henares),900,42,Anuncio actualizado el 28/10/2024,Consumo:130 kWh/m² año,Emisiones:62 Kg CO₂/m² año,"[('Superficie construida:', '42 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', 'Bajo'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA1497-1157')]",Alquiler
Piso en alquiler en Calle de los Cañizares,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1.100,49,Anuncio actualizado el 21/08/2024,N/A,N/A,"[('Superficie construida:', '49 m²'), ('Superficie útil:', '45 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '3ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA4401-559-CAÑIZARES')]",Alquiler
Piso en alquiler en Nuevo Aranjuez-Ciudad de Las Artes-El Mirador,Nuevo Aranjuez-Ciudad de las Artes-El Mirador (Aranjuez),800,90,Anuncio actualizado el 03/09/2024,N/A,N/A,"[('Superficie construida:', '90 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Referencia:', 'IF76262-140')]",Alquiler
Piso en alquiler en Trafalgar,Trafalgar (Distrito Chamberí. Madrid Capital),1.200,71,Anuncio actualizado el 23/10/2024,Consumo:382 kWh/m² año,Emisiones:65 Kg CO₂/m² año,"[('Superficie construida:', '71 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', 'TC1019-586318')]",Alquiler
"Piso en alquiler en Calle de Granada, cerca de Calle de Juan de Urbieta",Pacífico (Distrito Retiro. Madrid Capital),1.100,39,Anuncio actualizado el 11/10/2024,N/A,N/A,"[('Superficie construida:', '39 m²'), ('Superficie útil:', '35 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '4ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '4514034-13347345')]",Alquiler
Piso en alquiler en Calle de la Costa Brava,Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital),2.500,250,Anuncio actualizado el 15/10/2024,N/A,N/A,"[('Superficie construida:', '250 m²'), ('Superficie útil:', '240 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '4ª'), ('Referencia:', 'SA3988-ALQ.JACMIR.2/9621')]",Alquiler
"Estudio en alquiler en Calle de Pollensa, 3",Parque Empresarial (Las Rozas de Madrid),870,58,Anuncio actualizado el 26/10/2024,N/A,N/A,"[('Superficie construida:', '58 m²'), ('Baños:', '1'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA2644-38003969')]",Alquiler
"Dúplex en alquiler en Calle Viena, número .",Velilla de San Antonio,1.300,128,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '128 m²'), ('Superficie útil:', '128 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', '3ª'), ('Referencia:', 'EP442-807389')]",Alquiler
Casa en alquiler en Calle de la Malaquita,Soto del Real,2.400,340,Anuncio actualizado el 12/07/2024,Consumo:341 kWh/m² año,Emisiones:71 Kg CO₂/m² año,"[('Superficie construida:', '340 m²'), ('Superficie solar:', '1.200 m²'), ('Habitaciones:', '6'), ('Baños:', '4'), ('Referencia:', 'IF77045-I-00L0ZR-W-02WH0U')]",Alquiler
Ático en alquiler en Golf-El Carralero,Golf-El Carralero (Majadahonda),2.500,180,Anuncio actualizado el 18/10/2024,N/A,N/A,"[('Superficie construida:', '180 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '3ª'), ('Referencia:', 'IF77045-I-00L40B-W-02XGNZ')]",Alquiler
"Piso en alquiler en Calle de Ayala, cerca de Calle de Alcalá",Goya (Distrito Salamanca. Madrid Capital),1.600,45,Anuncio actualizado el 27/10/2024,Consumo:371 kWh/m² año,Emisiones:71 Kg CO₂/m² año,"[('Superficie construida:', '45 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3697-IL-04752')]",Alquiler
Chalet pareado en alquiler en Calle del Cigüela,El Bosque (Villaviciosa de Odón),2.800,240,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '240 m²'), ('Superficie útil:', '230 m²'), ('Superficie solar:', '300 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4514034-13347333')]",Alquiler
Ático en alquiler en La Navata,La Navata (Galapagar),1.700,130,Anuncio actualizado el 13/10/2024,N/A,N/A,"[('Superficie construida:', '130 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'IF6229-AR-1586')]",Alquiler
Piso en alquiler en Latina,Campamento (Distrito Latina. Madrid Capital),1.100,70,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2808-032258')]",Alquiler
Chalet unifamiliar en alquiler en Calle Timoteo Padrós,Abantos-Monte Carmelo-El Rosario (San Lorenzo de El Escorial),2.800,250,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '250 m²'), ('Superficie útil:', '238 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Conservación:', 'Reformado'), ('Referencia:', '996542-4090-GF')]",Alquiler
"Piso en alquiler en Avenida de Manuel Azaña, 16",Casco (Rivas-Vaciamadrid),1.170,95,Anuncio actualizado el 19/10/2024,Consumo:178 kWh/m² año,Emisiones:37 Kg CO₂/m² año,"[('Superficie construida:', '95 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5100-2200/22000606/00000070')]",Alquiler
"Piso en alquiler en Calle de Santa Isabel, cerca de Calle de Atocha",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1.300,64,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '64 m²'), ('Superficie útil:', '55 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA4401-576-SANTA ISABEL')]",Alquiler
"Piso en alquiler en Calle de Torrelaguna, cerca de Calle de Autol",San Juan Bautista (Distrito Ciudad Lineal. Madrid Capital),1.450,103,Anuncio actualizado el 20/10/2024,N/A,N/A,"[('Superficie construida:', '103 m²'), ('Superficie útil:', '95 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'XA544-VMF20 - Torrelaguna')]",Alquiler
Casa adosada en alquiler en Valdepastores-Pino Centinela-Las Encinas,Valdepastores-Pino Centinela-Las Encinas (Boadilla del Monte),5.500,500,Anuncio actualizado el 18/09/2024,Consumo:257 kWh/m² año,Emisiones:54 Kg CO₂/m² año,"[('Superficie construida:', '500 m²'), ('Superficie solar:', '1.000 m²'), ('Habitaciones:', '5'), ('Baños:', '4'), ('Tipo de casa:', 'Adosada'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'IF77045-I-00L2YO-W-02X2WQ')]",Alquiler
Casa adosada en alquiler en Calle Hiedra,El Soto de la Moraleja (La Moraleja),5.100,380,Anuncio actualizado el 08/10/2024,N/A,N/A,"[('Superficie construida:', '380 m²'), ('Habitaciones:', '6'), ('Baños:', '5'), ('Tipo de casa:', 'Adosada'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA633-5837')]",Alquiler
Piso en alquiler en Ventas,Ventas (Distrito Ciudad Lineal. Madrid Capital),1.375,79,Anuncio actualizado el 17/10/2024,Consumo:170 kWh/m² año,Emisiones:35 Kg CO₂/m² año,"[('Superficie construida:', '79 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '6ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC636-496645')]",Alquiler
Apartamento en alquiler en Puerta Bonita,Puerta Bonita (Distrito Carabanchel. Madrid Capital),800,46,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '46 m²'), ('Superficie útil:', '40 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', '4516598-Carabanchel')]",Alquiler
Piso en alquiler en Portazgo,Portazgo (Distrito Puente de Vallecas. Madrid Capital),1.135,60,Anuncio actualizado el 01/10/2024,N/A,N/A,"[('Superficie construida:', '60 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA3458-2001/20010001/1822')]",Alquiler
Piso en alquiler en San Blas,Canillejas (Distrito San Blas. Madrid Capital),900,60,Anuncio actualizado el 26/10/2024,N/A,N/A,"[('Superficie construida:', '60 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '2ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2814-032213')]",Alquiler
Casa en alquiler en Las Lomas,Las Lomas (Boadilla del Monte),5.000,500,Anuncio actualizado el 04/10/2024,Consumo:200 kWh/m² año,Emisiones:34 Kg CO₂/m² año,"[('Superficie construida:', '500 m²'), ('Superficie solar:', '2.600 m²'), ('Habitaciones:', '5'), ('Baños:', '4'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Referencia:', 'IF77045-I-00L3HT-W-02XA45')]",Alquiler
Piso en alquiler en Parque de La Coruña - Las Suertes,Parque de La Coruña-Las Suertes (Collado Villalba),790,49,Anuncio actualizado el 26/10/2024,N/A,N/A,"[('Superficie construida:', '49 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2821-028210')]",Alquiler
