Descripción,Localización,Precio,Última Actualización,Consumo Energético,Emisiones Co2,Tipo De Operación,Superficie Construida,Superficie Útil,Habitaciones,Baños,Antigüedad,Conservación,Planta,Tipo De Casa
Apartamento en alquiler en Sector B,Sector B (Boadilla del Monte),1200.0,2024-10-25,Consumo:152 kWh/m² año,Emisiones:32 Kg CO₂/m² año,Alquiler,53.0,No especificado,1,1,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Portazgo,Portazgo (Distrito Puente de Vallecas. Madrid Capital),960.0,2024-10-25,,,Alquiler,56.0,No especificado,2,1,No especificado,En buen estado,2ª,Piso
Apartamento en alquiler en Lista,Lista (Distrito Salamanca. Madrid Capital),1900.0,2024-10-15,Consumo:227 kWh/m² año,Emisiones:49 Kg CO₂/m² año,Alquiler,70.0,No especificado,1,1,Más de 50 años,No especificado,7ª,Otro
Apartamento en alquiler en Pasaje de Caleruega,Costillares (Distrito Ciudad Lineal. Madrid Capital),2400.0,2024-10-25,,,Alquiler,158.0,No especificado,4,3,Entre 30 y 50 años,No especificado,11ª,Otro
Ático en alquiler en Retiro,Pacífico (Distrito Retiro. Madrid Capital),1450.0,2024-10-26,,,Alquiler,69.0,No especificado,3,1,No especificado,En buen estado,4ª,Otro
Piso en alquiler en Centro,Imperial (Distrito Arganzuela. Madrid Capital),2000.0,2024-10-20,,,Alquiler,113.0,105.0,3,2,Más de 50 años,No especificado,No especificado,Piso
Ático en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),4750.0,2024-10-25,Consumo:114 kWh/m² año,Emisiones:25 Kg CO₂/m² año,Alquiler,153.0,No especificado,3,3,Entre 10 y 20 años,No especificado,No especificado,Otro
Piso en alquiler en Centro,Universidad-Malasaña (Distrito Centro. Madrid Capital),1800.0,2024-10-23,,,Alquiler,55.0,No especificado,2,2,No especificado,En buen estado,6ª,Piso
Ático en alquiler en Universidad-Malasaña,Universidad-Malasaña (Distrito Centro. Madrid Capital),2500.0,2024-05-21,Consumo:51 kWh/m² año,Emisiones:11 Kg CO₂/m² año,Alquiler,65.0,No especificado,1,2,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Puerta Bonita,Puerta Bonita (Distrito Carabanchel. Madrid Capital),995.0,2024-10-16,,,Alquiler,61.0,No especificado,3,1,No especificado,En buen estado,3ª,Piso
Loft en alquiler en Torrelodones - Colonia,Colonia (Torrelodones),650.0,2024-10-26,,,Alquiler,32.0,No especificado,No especificado,1,No especificado,En buen estado,Principal,Otro
Apartamento en alquiler en Puerta del Ángel,Puerta del Ángel (Distrito Latina. Madrid Capital),1200.0,2024-10-10,Consumo:176 kWh/m² año,Emisiones:30 Kg CO₂/m² año,Alquiler,62.0,No especificado,1,1,Menos de 5 años,No especificado,No especificado,Otro
Piso en alquiler en Guadarrama,Guadarrama,850.0,2024-10-26,,,Alquiler,65.0,No especificado,3,1,No especificado,En buen estado,2ª,Piso
Ático en alquiler en Delicias,Delicias (Distrito Arganzuela. Madrid Capital),1890.0,2024-10-16,Consumo:298 kWh/m² año,Emisiones:61 Kg CO₂/m² año,Alquiler,92.0,No especificado,2,2,Más de 50 años,No especificado,6ª,Otro
Piso en alquiler en Fuentebella,Fuentebella (Parla),980.0,2024-09-20,,,Alquiler,78.0,No especificado,3,1,No especificado,En buen estado,3ª,Piso
"Piso en alquiler en Calle de la Laguna del Marquesado, número .",San Andrés (Distrito Villaverde. Madrid Capital),1000.0,2024-10-16,,,Alquiler,70.0,70.0,1,2,No especificado,No especificado,3ª,Piso
"Piso en alquiler en Calle del General Pardiñas, cerca de Calle del General Oráa",Lista (Distrito Salamanca. Madrid Capital),3500.0,2024-08-30,,,Alquiler,120.0,No especificado,3,2,No especificado,Reformado,No especificado,Piso
"Piso en alquiler en Calle de López de Hoyos, cerca de Calle de María de Molina",Castellana (Distrito Salamanca. Madrid Capital),5000.0,2024-10-10,,,Alquiler,146.0,No especificado,3,3,No especificado,En buen estado,2ª,Piso
Apartamento en alquiler en Fuente del Berro,Fuente del Berro (Distrito Salamanca. Madrid Capital),2000.0,2024-09-27,Consumo:214 kWh/m² año,Emisiones:42 Kg CO₂/m² año,Alquiler,124.0,No especificado,4,2,Más de 50 años,No especificado,1ª,Otro
"Casa en alquiler en Calle de Siro Muela, cerca de Calle de Alegría de Oria",Salvador (Distrito San Blas. Madrid Capital),3600.0,2024-10-21,Consumo:238 kWh/m² año,Emisiones:48 Kg CO₂/m² año,Alquiler,247.0,No especificado,4,3,Entre 20 y 30 años,No especificado,No especificado,Casa
Piso en alquiler en Ríos Rosas,Ríos Rosas (Distrito Chamberí. Madrid Capital),800.0,2024-10-27,,,Alquiler,48.0,45.0,2,1,No especificado,En buen estado,3ª,Piso
Apartamento en alquiler en El Viso,El Viso (Distrito Chamartín. Madrid Capital),4300.0,2024-10-10,Consumo:141 kWh/m² año,Emisiones:24 Kg CO₂/m² año,Alquiler,153.0,No especificado,3,3,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Castilla,Castilla (Distrito Chamartín. Madrid Capital),2300.0,2024-06-17,,,Alquiler,132.0,No especificado,2,2,No especificado,No especificado,9ª,Piso
Piso en alquiler en Palomas,Palomas (Distrito Hortaleza. Madrid Capital),2950.0,2024-05-21,Consumo:141 kWh/m² año,Emisiones:29 Kg CO₂/m² año,Alquiler,80.0,No especificado,2,2,No especificado,No especificado,No especificado,Piso
Apartamento en alquiler en Palos de Moguer,Palos de Moguer (Distrito Arganzuela. Madrid Capital),1400.0,2024-08-01,,,Alquiler,70.0,No especificado,1,1,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Ambroz,Ambroz (Distrito Vicálvaro. Madrid Capital),970.0,2024-09-20,,,Alquiler,52.0,No especificado,2,1,No especificado,En buen estado,4ª,Piso
"Apartamento en alquiler en Calle del General Díaz Porlier, cerca de Calle de Don Ramón de la Cruz",Goya (Distrito Salamanca. Madrid Capital),2500.0,2024-10-22,,,Alquiler,88.0,No especificado,2,1,No especificado,No especificado,4ª,Otro
Piso en alquiler en Hellín,Hellín (Distrito San Blas. Madrid Capital),1040.0,2024-09-27,,,Alquiler,58.0,No especificado,3,1,No especificado,En buen estado,3ª,Piso
Casa unifamiliar en alquiler en Calle de Madrid,Centro-Urbanización El Bosque (Arroyomolinos),2500.0,2024-10-23,,,Alquiler,600.0,180.0,3,3,Entre 10 y 20 años,En buen estado,No especificado,Casa
"Piso en alquiler en Calle de Francisco Silvela, cerca de Calle del Príncipe de Vergara",El Viso (Distrito Chamartín. Madrid Capital),3000.0,2024-10-24,,,Alquiler,120.0,No especificado,3,2,No especificado,En buen estado,1ª,Piso
"Piso en alquiler en Calle Felipe III, 9",Estación (Valdemoro),1295.0,2024-10-21,,,Alquiler,112.0,No especificado,3,2,Menos de 5 años,En buen estado,No especificado,Piso
Apartamento en alquiler en Almagro,Almagro (Distrito Chamberí. Madrid Capital),2850.0,2024-05-21,Consumo:40 kWh/m² año,Emisiones:8 Kg CO₂/m² año,Alquiler,105.0,No especificado,2,2,No especificado,No especificado,No especificado,Otro
Apartamento en alquiler en Imperial,Imperial (Distrito Arganzuela. Madrid Capital),1585.0,2024-06-24,,,Alquiler,63.0,No especificado,1,1,No especificado,No especificado,6ª,Otro
Piso en alquiler en San Cristóbal,San Cristóbal (Distrito Villaverde. Madrid Capital),960.0,2024-10-18,,,Alquiler,60.0,No especificado,3,1,No especificado,En buen estado,1ª,Piso
Apartamento en alquiler en Nueva España,Nueva España (Distrito Chamartín. Madrid Capital),5700.0,2024-10-09,,,Alquiler,552.0,No especificado,6,5,Más de 50 años,No especificado,2ª,Otro
Piso en alquiler en Casco Histórico de Vallecas,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),1105.0,2024-10-18,,,Alquiler,67.0,No especificado,3,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Tetuan,Cuatro Caminos (Distrito Tetuán. Madrid Capital),1100.0,2024-10-25,,,Alquiler,70.0,No especificado,2,1,No especificado,En buen estado,No especificado,Piso
Apartamento en alquiler en Calle de la Santísima Trinidad,Trafalgar (Distrito Chamberí. Madrid Capital),1500.0,2024-10-26,,,Alquiler,46.0,No especificado,1,1,No especificado,A estrenar,4ª,Otro
Apartamento en alquiler en Niño Jesús,Niño Jesús (Distrito Retiro. Madrid Capital),5500.0,2024-10-23,Consumo:233 kWh/m² año,Emisiones:47 Kg CO₂/m² año,Alquiler,238.0,No especificado,4,4,No especificado,No especificado,5ª,Otro
Ático en alquiler en Prosperidad,Prosperidad (Distrito Chamartín. Madrid Capital),4000.0,2024-10-14,Consumo:41 kWh/m² año,Emisiones:9 Kg CO₂/m² año,Alquiler,198.0,No especificado,5,4,Menos de 5 años,No especificado,7ª,Otro
Piso en alquiler en Villayuventus-Renfe,Villayuventus-Renfe (Parla),980.0,2024-10-09,,,Alquiler,66.0,No especificado,3,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Numancia,Numancia (Distrito Puente de Vallecas. Madrid Capital),1165.0,2024-10-25,,,Alquiler,73.0,No especificado,3,1,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Moncloa-Aravaca,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),1100.0,2024-09-30,,,Alquiler,55.0,No especificado,1,1,No especificado,En buen estado,1ª,Piso
"Piso en alquiler en Calle de Diego Bahamonde, número .",Fuente del Berro (Distrito Salamanca. Madrid Capital),1300.0,2024-10-25,,,Alquiler,57.0,57.0,2,1,No especificado,No especificado,2ª,Piso
Piso en alquiler en Casco Histórico de Barajas,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),1360.0,2024-05-28,Consumo:43 kWh/m² año,Emisiones:9 Kg CO₂/m² año,Alquiler,63.0,No especificado,2,2,Menos de 5 años,No especificado,No especificado,Piso
Piso en alquiler en Ciudad Lineal,San Juan Bautista (Distrito Ciudad Lineal. Madrid Capital),1290.0,2024-10-28,,,Alquiler,50.0,No especificado,2,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en San Cristóbal,San Cristóbal (Distrito Villaverde. Madrid Capital),985.0,2024-08-14,,,Alquiler,64.0,No especificado,3,1,No especificado,En buen estado,4ª,Piso
Apartamento en alquiler en Sector S,Sector S (Boadilla del Monte),1700.0,2024-10-28,,,Alquiler,120.0,No especificado,3,2,Entre 10 y 20 años,No especificado,No especificado,Otro
Piso en alquiler en Zofío,Zofío (Distrito Usera. Madrid Capital),1120.0,2024-10-16,,,Alquiler,63.0,No especificado,3,1,No especificado,En buen estado,1ª,Piso
Estudio en alquiler en Núcleo Urbano,Núcleo Urbano (Villanueva de la Cañada),900.0,2024-10-28,,,Alquiler,30.0,25.0,1,1,Menos de 5 años,A estrenar,Bajo,Estudio
Piso en alquiler en Paseo de la Castellana,Almenara (Distrito Tetuán. Madrid Capital),2135.0,2024-10-28,,,Alquiler,137.0,100.0,2,No especificado,No especificado,No especificado,10ª,Piso
Apartamento en alquiler en Calle de Columela,Recoletos (Distrito Salamanca. Madrid Capital),4000.0,2024-10-17,Consumo:304 kWh/m² año,Emisiones:64 Kg CO₂/m² año,Alquiler,157.0,No especificado,3,3,No especificado,No especificado,5ª,Otro
Chalet pareado en alquiler en Pozuelo de Alarcón,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),2400.0,2024-10-13,,,Alquiler,160.0,No especificado,4,3,Más de 50 años,No especificado,No especificado,Chalet
"Piso en alquiler en Calle de María de Molina, cerca de Calle de López de Hoyos",Castellana (Distrito Salamanca. Madrid Capital),2700.0,2024-10-23,,,Alquiler,126.0,No especificado,4,2,No especificado,En buen estado,4ª,Piso
"Piso en alquiler en Calle de Muller, 56, cerca de Calle de Ceferino Rodríguez",Valdeacederas (Distrito Tetuán. Madrid Capital),1250.0,2024-10-18,Consumo:257 kWh/m² año,Emisiones:53 Kg CO₂/m² año,Alquiler,69.0,58.0,2,1,Entre 20 y 30 años,En buen estado,1ª,Piso
Apartamento en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),5000.0,2024-10-07,Consumo:97 kWh/m² año,Emisiones:20 Kg CO₂/m² año,Alquiler,144.0,No especificado,3,3,Menos de 5 años,No especificado,No especificado,Otro
"Piso en alquiler en Pryconsa, Juan de Austria","Pryconsa, Juan de Austria (Distrito El Val. Alcalá de Henares)",950.0,2024-10-27,Consumo:184.1 kWh/m² año,Emisiones:38.7 Kg CO₂/m² año,Alquiler,88.0,No especificado,3,1,Entre 30 y 50 años,Reformado,2ª,Piso
Piso en alquiler en Portazgo,Portazgo (Distrito Puente de Vallecas. Madrid Capital),945.0,2024-09-17,,,Alquiler,55.0,No especificado,1,1,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Fuencarral,Valverde (Distrito Fuencarral-El Pardo. Madrid Capital),950.0,2024-10-23,,,Alquiler,50.0,No especificado,1,1,No especificado,En buen estado,1ª,Piso
Piso en alquiler en El Viso,San Nicasio-Campo de Tiro-Solagua (Leganés),3000.0,2024-08-21,,,Alquiler,120.0,110.0,3,2,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Amposta,Amposta (Distrito San Blas. Madrid Capital),1100.0,2024-09-27,,,Alquiler,58.0,No especificado,3,1,No especificado,En buen estado,2ª,Piso
Dúplex en alquiler en Calle de Rufino Blanco,Fuente del Berro (Distrito Salamanca. Madrid Capital),1750.0,2024-10-18,Consumo:349 kWh/m² año,Emisiones:59 Kg CO₂/m² año,Alquiler,82.0,No especificado,2,1,No especificado,En buen estado,No especificado,Dúplex
"Piso en alquiler en Calle de las Viñas del Río, 12",Butarque (Distrito Villaverde. Madrid Capital),1020.0,2024-10-28,,,Alquiler,56.0,No especificado,1,1,Menos de 5 años,En buen estado,No especificado,Piso
Piso en alquiler en Argüelles,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),4500.0,2024-07-03,,,Alquiler,160.0,No especificado,3,3,No especificado,No especificado,8ª,Piso
Piso en alquiler en Fuencarral,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),1400.0,2024-10-26,,,Alquiler,90.0,No especificado,2,2,No especificado,En buen estado,8ª,Piso
Piso en alquiler en Chamartin,Hispanoamérica (Distrito Chamartín. Madrid Capital),1100.0,2024-10-08,,,Alquiler,55.0,No especificado,2,1,No especificado,En buen estado,No especificado,Piso
"Piso en alquiler en Avenida de los Prunos, cerca de Avenida de las Azaleas",Palomas (Distrito Hortaleza. Madrid Capital),1550.0,2024-10-26,Consumo:195 kWh/m² año,Emisiones:40 Kg CO₂/m² año,Alquiler,85.0,No especificado,2,2,No especificado,En buen estado,3ª,Piso
Piso en alquiler en Casco Antiguo,Casco Antiguo (San Sebastián de los Reyes),1015.0,2024-10-24,,,Alquiler,60.0,No especificado,3,1,No especificado,En buen estado,3ª,Piso
Chalet pareado en alquiler en Molino de La Hoz,Centro (Las Rozas de Madrid),3500.0,2024-10-14,,,Alquiler,250.0,No especificado,4,3,Más de 50 años,No especificado,No especificado,Chalet
"Piso en alquiler en Calle Jorge Juan, cerca de Calle de Puigcerdá",Recoletos (Distrito Salamanca. Madrid Capital),4500.0,2024-10-11,,,Alquiler,133.0,No especificado,3,4,No especificado,A estrenar,1ª,Piso
Piso en alquiler en Galapagar,La Navata (Galapagar),990.0,2024-10-11,,,Alquiler,51.0,No especificado,1,1,No especificado,No especificado,No especificado,Piso
Apartamento en alquiler en Bellas Vistas,Bellas Vistas (Distrito Tetuán. Madrid Capital),1400.0,2024-07-18,,,Alquiler,40.0,No especificado,1,2,No especificado,No especificado,No especificado,Otro
Apartamento en alquiler en Cuatro Caminos,Cuatro Caminos (Distrito Tetuán. Madrid Capital),1400.0,2024-10-25,Consumo:226 kWh/m² año,Emisiones:47 Kg CO₂/m² año,Alquiler,65.0,No especificado,1,1,Entre 20 y 30 años,No especificado,No especificado,Otro
Casa en alquiler en Centro,El Molar,1200.0,2024-10-28,,,Alquiler,118.0,No especificado,3,1,No especificado,Reformado,No especificado,Casa
"Piso en alquiler en Calle de Matilde Hernández, cerca de Calle de la Alondra",Vista Alegre (Distrito Carabanchel. Madrid Capital),1150.0,2024-09-13,,,Alquiler,53.0,41.0,1,1,Menos de 5 años,En buen estado,No especificado,Piso
Apartamento en alquiler en Jerónimos,Jerónimos (Distrito Retiro. Madrid Capital),11000.0,2024-08-29,Consumo:390 kWh/m² año,Emisiones:94 Kg CO₂/m² año,Alquiler,390.0,No especificado,3,4,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Calle de Frómista,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1700.0,2024-10-21,,,Alquiler,84.0,No especificado,2,2,Entre 10 y 20 años,En buen estado,2ª,Piso
Piso en alquiler en Amposta,Amposta (Distrito San Blas. Madrid Capital),895.0,2024-08-13,,,Alquiler,47.0,No especificado,2,1,No especificado,En buen estado,1ª,Piso
Piso en alquiler en Avenida de Manoteras,Virgen del Cortijo-Manoteras (Distrito Hortaleza. Madrid Capital),950.0,2024-10-03,,,Alquiler,55.0,No especificado,No especificado,1,No especificado,No especificado,2ª,Piso
Piso en alquiler en Espartales,Espartales (Distrito Ensanche-Espartales. Alcalá de Henares),950.0,2024-10-24,,,Alquiler,80.0,No especificado,2,2,No especificado,En buen estado,2ª,Piso
Chalet unifamiliar en alquiler en La Moraleja-Próximo A Centro Comercial y Colegios,La Moraleja (La Moraleja),6500.0,2024-10-14,,,Alquiler,400.0,350.0,7,6,Entre 20 y 30 años,En buen estado,No especificado,Chalet
Piso en alquiler en Centro-Arroyo-La Fuente,Centro-Arroyo-La Fuente (Fuenlabrada),990.0,2024-10-24,,,Alquiler,66.0,No especificado,3,1,No especificado,En buen estado,4ª,Piso
Casa en alquiler en El Soto de La Moraleja,El Soto de la Moraleja (La Moraleja),3500.0,2024-09-20,,,Alquiler,250.0,No especificado,4,4,No especificado,No especificado,No especificado,Casa
"Apartamento en alquiler en Calle de Ponzano, cerca de Calle de Ríos Rosas",Ríos Rosas (Distrito Chamberí. Madrid Capital),2600.0,2024-08-22,Consumo:252 kWh/m² año,Emisiones:44 Kg CO₂/m² año,Alquiler,50.0,No especificado,No especificado,1,No especificado,No especificado,No especificado,Otro
"Piso en alquiler en Calle de Alberto Aguilera, cerca de Calle de Guzmán El Bueno",Arapiles (Distrito Chamberí. Madrid Capital),3200.0,2024-10-04,,,Alquiler,230.0,200.0,4,3,Más de 50 años,En buen estado,3ª,Piso
Piso en alquiler en Galapagar,La Navata (Galapagar),1550.0,2024-10-09,,,Alquiler,94.0,No especificado,3,3,No especificado,No especificado,No especificado,Piso
Apartamento en alquiler en Castillejos,Castillejos (Distrito Tetuán. Madrid Capital),2000.0,2024-10-17,Consumo:182 kWh/m² año,Emisiones:47 Kg CO₂/m² año,Alquiler,96.0,No especificado,2,2,No especificado,No especificado,2ª,Otro
Piso en alquiler en Conde Orgaz,Prosperidad (Distrito Chamartín. Madrid Capital),2800.0,2024-10-28,,,Alquiler,180.0,No especificado,3,3,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Calle de José Rizal,Piovera (Distrito Hortaleza. Madrid Capital),1315.0,2024-10-28,,,Alquiler,60.0,No especificado,1,No especificado,No especificado,No especificado,Bajo,Piso
Ático en alquiler en Goya,Goya (Distrito Salamanca. Madrid Capital),2850.0,2024-09-24,Consumo:258 kWh/m² año,Emisiones:53 Kg CO₂/m² año,Alquiler,130.0,No especificado,3,2,No especificado,No especificado,No especificado,Otro
Dúplex en alquiler en Argüelles,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),2950.0,2024-10-28,,,Alquiler,155.0,145.0,3,2,No especificado,En buen estado,4ª,Dúplex
Piso en alquiler en Puente de Vallecas,Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital),1150.0,2024-10-24,,,Alquiler,90.0,No especificado,2,2,No especificado,En buen estado,9ª,Piso
